id,Word,Frequency
1413,административной,11
1414,организации,11
1415,обнаружить,22
1416,зло,55
1417,сделать,341
1418,искоренению,11
1419,коекак,44
1420,слушал,44
1421,этот,1452
1422,без,1815
1423,церемонии,33
1424,барабанил,11
1425,окнам,22
1426,пальцами,99
1427,полицмейстер,176
1428,оседлав,11
1429,ногами,121
1430,свою,1419
1431,кавалерийскую,11
1432,саблю,11
1433,пускал,22
1434,изпод,253
1435,усов,11
1436,колечки,11
1437,дыма,33
1438,собирался,66
1439,сказать,649
1440,«как,308
1441,дитя,462
1442,глупы»,22
1443,2,154
1444,среди,77
1445,таких,308
1446,наших,198
1447,занятий,22
1448,растворилась,11
1449,соединявшая,11
1450,комнатку,33
1451,комуто,11
1452,клуб,11
1453,прошу,330
1454,отделаюсь,11
1455,буду,374
1456,вашим,88
1457,услугам,11
1458,плотный,11
1459,блондин,11
1460,очках,22
1461,небольшою,11
1462,лысиною,22
1463,ласковым,33
1464,выражением,88
1465,лице,132
1466,господин,209
1467,ден,176
1468,рекомендуя,11
1469,введенного,11
1470,господина,22
1471,приехал,154
1472,полномочием,11
1473,князя,88
1474,кулагина,11
1475,управление,33
1476,имениями,33
1477,познакомиться,11
1478,сотрудники,11
1479,n,11
1480,x,22
1481,y,11
1482,z,11
1483,отрекомендовал,11
1484,господину,11
1485,дену,44
1486,начались,77
1487,рукожатия,11
1488,отрывочные,11
1489,«очень,55
1490,рад,77
1491,весьма,132
1492,приятно»,11
1493,т,495
1494,д,154
1495,полицмейстером,33
1496,кабинет,88
1497,прерванный,11
1498,кейф,11
1499,давно,528
1500,краях,11
1501,дена,99
1502,слывший,33
1503,светского,11
1504,первый,374
1505,здешней,22
1506,вчерашнего,22
1507,дня,385
1508,гн,11
1509,знакомы,66
1510,губернией,11
1511,знаю,1309
1512,знаком,11
1513,отчетам,11
1514,предъявляли,11
1515,главной,33
1516,конторе,44
1517,рассказам,33
1518,доверителя,11
1519,но…,33
1520,полагаю,33
1521,ваша,77
1522,губерния,33
1523,самое,418
1524,воронежская,11
1525,полтавская,11
1526,которых,418
1527,управлял,11
1528,княжескими,11
1529,отозвался,121
1530,помощник,22
1531,политикоэконома,11
1532,чем,1815
1533,резче,11
1534,проявляются,11
1535,особенности,22
1536,отнесся,44
1537,обязан,33
1538,ваши,176
1539,опытные,11
1540,указания,11
1541,многом,33
1542,смею,22
1543,спорить,33
1544,хотелось,264
1545,узнать,165
1546,именно,231
1547,могу,583
1548,споткнуться,11
1549,держаться,11
1550,системы,11
1551,управления,11
1552,принятой,22
1553,приезда,66
1554,россию,11
1555,тех,396
1556,убеждений,22
1557,неуклонная,11
1558,система,44
1559,достигает,11
1560,благих,44
1561,целей,22
1562,политикоэконом,22
1563,вопрос,99
1564,перебил,11
1565,вопросом,77
1566,россии,88
1567,седьмой,33
1568,год,352
1569,вы…,88
1570,ошибаюсь…,11
1571,иностранец,11
1572,англичанин,187
1573,хорошо,825
1574,говорите,88
1575,англии,11
1576,учился,33
1577,изо,77
1578,крестьянами,11
1579,удивительного,22
1580,свыклись,11
1581,нашим,77
1582,народом,66
1583,нашими,22
1584,порядками,22
1585,кажется,627
1586,улыбаясь,231
1587,имения,33
1588,цветут,22
1589,слышал,88
1590,труда,22
1591,везде,330
1592,двинешь,11
1593,другом,121
1594,месте,297
1595,ничегос,22
1596,нужна,22
1597,варваром,11
1598,потатчиком,11
1599,вести,33
1600,систематически,11
1601,твердо,77
1602,настойчиво,11
1603,разумно,11
1604,намерены,11
1605,основать,11
1606,резиденцию,11
1607,рахманах,33
1608,жижках,11
1609,покойная,11
1610,княгиня,22
1611,жила,165
1612,готовый,22
1613,дом,594
1614,прислуга,22
1615,некоторые,55
1616,соображения,55
1617,своя,66
1618,смеясь,253
1619,шляпой,11
1620,«едемс»,11
1621,пожали,22
1622,друг,990
1623,другу,132
1624,расстались,22
1625,3,110
1626,рахманы,44
1627,находится,22
1628,соседстве,11
1629,гостомельскими,22
1630,хуторами,33
1631,увидел,44
1632,свет,286
1633,селом,11
1634,расстояния,11
1635,считают,11
